id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
19KlLuxA7AxvQpoQYx7zhG,I Need A Dollar,Aloe Blacc,['Aloe Blacc']
1aUT4xl8iiYNr6emik4qTB,I Need A Doctor,Dr. Dre,"['Dr. Dre', 'Eminem', 'Skylar Grey']"
4vl2zwXsTmAxgu9iY0g6UK,I Don't Want to Be,Gavin DeGraw,['Gavin DeGraw']
6j7hih15xG2cdYwIJnQXsq,Not Over You,Gavin DeGraw,['Gavin DeGraw']
1FHNctV68GUNLgXclG2DtR,Dancing in the Moonlight,Toploader,['Toploader']
0BuV9tHB6tm3Ron8xt1hPD,Welcome To St. Tropez (feat. Kalenna) - DJ Antoine vs. Mad Mark Radio Edit,DJ Antoine,"['DJ Antoine', 'Timati', 'Kalenna']"
6v1Z0ZOzAKiwl4A2iJ66XF,Tomgang,Shaka Loveless,['Shaka Loveless']
1myEOhXztRxUVfaAEQiKkU,Cosmic Love,Florence + The Machine,['Florence + The Machine']
6zX1edWck5DxIBWQMOUXO5,This Is Love,will.i.am,"['will.i.am', 'Eva Simons']"
4rvtlpAeDuOn4baUJPCEhy,As Long As You Love Me,Justin Bieber,"['Justin Bieber', 'Big Sean']"
6oBsdray3Hco2PY7zN8o4x,Take Me Home (Ash Howes Radio Mix),Jack Savoretti,['Jack Savoretti']
4ZugW6i0JN3SE2WW9qPkOY,Too Close,Alex Clare,['Alex Clare']
5z1GTMkIghQ1Y3M6vuE3JS,Intro,M83,['M83']
1GIIGYq1YZVvunA62AP4uw,Reunion,M83,['M83']
1eXCOaP61F46PhkSkEzia6,Cocaine,Nomy,['Nomy']
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,JAY-Z,"['JAY-Z', 'Kanye West']"
6qj3fVJJ2PcRxpSG7lDPZ5,Pumped up Kicks,Foster The People,['Foster The People']
6b5rA9rthDbZDOQp9UbOgl,Little Lion Man,Mumford & Sons,['Mumford & Sons']
1pf6ogqYh6okTnYk9vV1P2,Helena Beat,Foster The People,['Foster The People']
10ViidwjGLCfVtGPfdcszR,Home,Edward Sharpe & The Magnetic Zeros,['Edward Sharpe & The Magnetic Zeros']
3ZBSXNYdTZVaBUQI3E2rF6,Above The Clouds,Gang Starr,"['Gang Starr', 'Inspectah Deck']"
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,['The Fray']
225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,['Aerosmith']
4GQhneb43FYda0g6P4pmwa,Dream On,Aerosmith,['Aerosmith']
6oiODlk4XCb7SjhcY3ilv7,Crazy,Aerosmith,['Aerosmith']
2lmD2i8NWBmeDap5UpIAaj,Livin' On The Edge,Aerosmith,['Aerosmith']
6PXSMJX5366vbAAR5fMmfy,Don't Cry (Original),Guns N' Roses,"[""Guns N' Roses""]"
0KTsmr6JOuhxZuiXUha1xC,Beauty And A Beat,Justin Bieber,"['Justin Bieber', 'Nicki Minaj']"
4ewyeX8YYbAVXf8VbLqO1D,Ikke Mere Tid,Shaka Loveless,['Shaka Loveless']
5jnxxpX2834SB6LJ0S73Uz,Lollipop,Lil Wayne,"['Lil Wayne', 'Static Major']"
1ztbs9oxLOfYcDr5xL8loQ,Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,"['Florence + The Machine', 'Calvin Harris']"
1oF75Qbv8UvOBm1imUAE51,Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,['Swedish House Mafia']
6q4XYddaLXrw1v23n4Ai4B,Talkin’ 2 Myself,Eminem,"['Eminem', 'Kobe']"
6lN2DHOHbWbRS1dBAqmDhC,Mad World,Donnie Darko,['Donnie Darko']
4XTTwW06rMgud7yS1nySZf,Animal,Miike Snow,['Miike Snow']
6wES7HDZ0sq9wg58fBzd0i,The Lightning Strike,Snow Patrol,['Snow Patrol']
0D5ER6UGojHVHVVJV0QdY8,Kush - Main,Dr. Dre,"['Dr. Dre', 'Snoop Dogg', 'Akon']"
20spGJ330KsLPUgWElJGQ4,Mockingbird,Eminem,['Eminem']
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),The Script,"['The Script', 'will.i.am']"
1mwt9hzaH7idmC5UCoOUkz,Diamonds,Rihanna,['Rihanna']
4HXOBjwv2RnLpGG4xWOO6N,Princess of China,Coldplay,"['Coldplay', 'Rihanna']"
1tjY4H0X706ZH03SXa1DFh,Where Have You Been,Rihanna,['Rihanna']
20LxTsa6936zOlzTWqoPVt,The Next Episode,Dr. Dre,"['Dr. Dre', 'Snoop Dogg']"
6clw4A52XQ9tLBPHBM8SYG,Nights In White Satin - Single Edit,The Moody Blues,"['The Moody Blues', 'Peter Knight']"
4fvTMIZhXaaLokgmo4uMqF,Layla,Eric Clapton,['Eric Clapton']
3GBGdtSuPKI81bzrniHuF3,Wonderful Tonight,Eric Clapton,['Eric Clapton']
64gpgh5jBMxyh7iVJll23t,The Sound of Silence,Simon & Garfunkel,['Simon & Garfunkel']
5LFtkeNjLpZAey3Arj3h4M,Bridge over Troubled Water,Simon & Garfunkel,['Simon & Garfunkel']
3GC3xIxWImpR7dfv2F81ze,Greyhound,Swedish House Mafia,['Swedish House Mafia']
65hRZOQkVjmBdusz1N7aOv,Save The World,Swedish House Mafia,['Swedish House Mafia']
